feature,desc,transf_initial,source,source_group,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
interestrate_508L,Interest rate for a closed contract in the credit bureau.,L,creditbureaua1,creditbureau1,143,"min, max, last",1,,interestrate_508L,closed,
lastupdate_1112D,Date of last update for an active contract from credit bureau.,D,creditbureaua1,creditbureau1,203,"min, max, mean",1,,lastupdate_1112D,active,
lastupdate_388D,Date of last update for a closed contract in the credit bureau.,D,creditbureaua1,creditbureau1,4909,"min, max, mean",1,,lastupdate_388D,closed,
lastupdate_all,Date of last update for an active contract from credit bureau.,D,creditbureaua1,creditbureau1,203,"min, max, mean",1,,lastupdate_1112D,all,
monthlyinstlamount_332A,Monthly instalment amount for active contract.,A,creditbureaua1,creditbureau1,118375,"min, max",1,,monthlyinstlamount_332A,active,
monthlyinstlamount_674A,Monthly amount of instalment payment on a closed contract.,A,creditbureaua1,creditbureau1,273081,"min, max",1,,monthlyinstlamount_674A,closed,
monthlyinstlamount_all,Monthly instalment amount for active contract.,A,creditbureaua1,creditbureau1,118375,"min, max",1,,monthlyinstlamount_332A,all,
nominalrate_281L,Interest rate of the active contract.,L,creditbureaua1,creditbureau1,545,"min, max, last, mean",1,,nominalrate_281L,active,
nominalrate_498L,Interest rate for closed contract.,L,creditbureaua1,creditbureau1,1536,"min, max, last, mean",1,,nominalrate_498L,closed,
nominalrate_all,Interest rate of the active contract.,L,creditbureaua1,creditbureau1,545,"min, max, last, mean",1,,nominalrate_281L,all,
numberofcontrsvalue_258L,Number of active contracts in credit bureau.,L,creditbureaua1,creditbureau1,19,"min, max, last, mean",1,,numberofcontrsvalue_258L,active,
numberofcontrsvalue_358L,Number of closed credit contracts.,L,creditbureaua1,creditbureau1,114,"min, max, last, mean",1,,numberofcontrsvalue_358L,closed,
numberofcontrsvalue_all,Number of active contracts in credit bureau.,L,creditbureaua1,creditbureau1,19,"min, max, last, mean",1,,numberofcontrsvalue_258L,all,
numberofinstls_229L,Number of instalments on closed contract.,L,creditbureaua1,creditbureau1,321,"min, max, last, mean",1,,numberofinstls_229L,closed,
numberofinstls_320L,Number of instalments of the active contract.,L,creditbureaua1,creditbureau1,288,"min, max, last, mean",1,,numberofinstls_320L,active,
numberofinstls_all,Number of instalments of the active contract.,L,creditbureaua1,creditbureau1,288,"min, max, last, mean",1,,numberofinstls_320L,all,
numberofoutstandinstls_520L,Number of outstanding instalment for closed contract.,L,creditbureaua1,creditbureau1,175,"min, max, last",1,,numberofoutstandinstls_520L,closed,
numberofoutstandinstls_59L,Number of outstanding instalments for the active contracts.,L,creditbureaua1,creditbureau1,291,"min, max, last",1,,numberofoutstandinstls_59L,active,
numberofoutstandinstls_all,Number of outstanding instalments for the active contracts.,L,creditbureaua1,creditbureau1,291,"min, max, last",1,,numberofoutstandinstls_59L,all,
numberofoverdueinstlmax_1039L,Maximum number of past due installments for an active contract.,L,creditbureaua1,creditbureau1,1239,"min, max, last, mean",1,,numberofoverdueinstlmax_1039L,active,
numberofoverdueinstlmax_1151L,Maximum number of past due installments for a closed contract.,L,creditbureaua1,creditbureau1,3964,"min, max, last, mean",1,,numberofoverdueinstlmax_1151L,closed,
numberofoverdueinstlmax_all,Maximum number of past due installments for an active contract.,L,creditbureaua1,creditbureau1,1239,"min, max, last, mean",1,,numberofoverdueinstlmax_1039L,all,
numberofoverdueinstlmaxdat_148D,Date of maximum number of past due instalments for the closed contract.,D,creditbureaua1,creditbureau1,4671,"min, max",1,,numberofoverdueinstlmaxdat_148D,closed,
numberofoverdueinstlmaxdat_641D,Date of maximum number of past due instalments for the active contract.,D,creditbureaua1,creditbureau1,1620,"min, max",1,,numberofoverdueinstlmaxdat_641D,active,
numberofoverdueinstlmaxdat_all,Date of maximum number of past due instalments for the active contract.,D,creditbureaua1,creditbureau1,1620,"min, max",1,,numberofoverdueinstlmaxdat_641D,all,
numberofoverdueinstls_725L,Maximum number of past due instalments for an active contract.,L,creditbureaua1,creditbureau1,605,"min, max, last",1,,numberofoverdueinstls_725L,active,
numberofoverdueinstls_834L,Number of past due instalments for a closed contract.,L,creditbureaua1,creditbureau1,119,"min, max, last",1,,numberofoverdueinstls_834L,closed,
numberofoverdueinstls_all,Maximum number of past due instalments for an active contract.,L,creditbureaua1,creditbureau1,605,"min, max, last",1,,numberofoverdueinstls_725L,all,
outstandingamount_354A,Outstanding amount for closed credit contract in credit bureau.,A,creditbureaua1,creditbureau1,154,"min, max, mean",1,,outstandingamount_354A,closed,
outstandingamount_362A,Active contract's outstanding amount.,A,creditbureaua1,creditbureau1,165005,"min, max, mean",1,,outstandingamount_362A,active,
outstandingamount_all,Active contract's outstanding amount.,A,creditbureaua1,creditbureau1,165005,"min, max, mean",1,,outstandingamount_362A,all,
overdueamount_31A,Past due amount for a closed contract.,A,creditbureaua1,creditbureau1,174,"mean, max",1,,overdueamount_31A,closed,
overdueamount_659A,Past due amount for active contract.,A,creditbureaua1,creditbureau1,2696,"mean, max",1,,overdueamount_659A,active,
overdueamount_all,Past due amount for active contract.,A,creditbureaua1,creditbureau1,2696,"mean, max",1,,overdueamount_659A,all,
overdueamountmax_155A,Maximal past due amount for active contract.,A,creditbureaua1,creditbureau1,61697,"min, max",1,,overdueamountmax_155A,active,
overdueamountmax_35A,Maximal past due amount for a closed contract.,A,creditbureaua1,creditbureau1,216533,"min, max",1,,overdueamountmax_35A,closed,
overdueamountmax_all,Maximal past due amount for active contract.,A,creditbureaua1,creditbureau1,61697,"min, max",1,,overdueamountmax_155A,all,
overdueamountmax2_14A,Maximal past due amount for an active contract.,A,creditbureaua1,creditbureau1,75568,"min, max, mean",1,,overdueamountmax2_14A,active,
overdueamountmax2_398A,Maximal overdue amount for a closed contract.,A,creditbureaua1,creditbureau1,226965,"min, max, mean",1,,overdueamountmax2_398A,closed,
overdueamountmax2_all,Maximal past due amount for an active contract.,A,creditbureaua1,creditbureau1,75568,"min, max, mean",1,,overdueamountmax2_14A,all,
overdueamountmax2date_1002D,Date of maximal past due amount for a closed contract,D,creditbureaua1,creditbureau1,4538,"min, max, mean",1,,overdueamountmax2date_1002D,closed,
overdueamountmax2date_1142D,Date of maximal past due amount for an active contract.,D,creditbureaua1,creditbureau1,1772,"min, max, mean",1,,overdueamountmax2date_1142D,active,
overdueamountmax2date_all,Date of maximal past due amount for an active contract.,D,creditbureaua1,creditbureau1,1772,"min, max, mean",1,,overdueamountmax2date_1142D,all,
overdueamountmaxdatemonth_284T,Month when the maximum past due amount occurred for a closed contract.,T,creditbureaua1,creditbureau1,13,"min, max",1,,overdueamountmaxdatemonth_284T,closed,
overdueamountmaxdatemonth_365T,Month when maximum past due amount occurred for an active contract.,T,creditbureaua1,creditbureau1,13,"min, max",1,,overdueamountmaxdatemonth_365T,active,
overdueamountmaxdatemonth_all,Month when maximum past due amount occurred for an active contract.,T,creditbureaua1,creditbureau1,13,"min, max",1,,overdueamountmaxdatemonth_365T,all,
overdueamountmaxdateyear_2T,Year when the maximum past due amount occurred for active contracts.,T,creditbureaua1,creditbureau1,6,,0,,overdueamountmaxdateyear_2T,active,
overdueamountmaxdateyear_994T,Year when maximum past due amount occurred for closed contract.,T,creditbureaua1,creditbureau1,19,,0,,overdueamountmaxdateyear_994T,closed,
overdueamountmaxdateyear_all,Year when the maximum past due amount occurred for active contracts.,T,creditbureaua1,creditbureau1,6,,0,,overdueamountmaxdateyear_2T,all,
periodicityofpmts_1102L,Frequency of instalments for a closed contract.,L,creditbureaua1,creditbureau1,6,"min, max, last",1,,periodicityofpmts_1102L,closed,
periodicityofpmts_837L,Frequency of instalments for an active contract.,L,creditbureaua1,creditbureau1,6,"min, max, last",1,,periodicityofpmts_837L,active,
periodicityofpmts_all,Frequency of instalments for an active contract.,L,creditbureaua1,creditbureau1,6,"min, max, last",1,,periodicityofpmts_837L,all,
prolongationcount_1120L,Count of prolongations on terminated contract according to credit bureau.,L,creditbureaua1,creditbureau1,55,"min, max, mean",1,,prolongationcount_1120L,closed,
prolongationcount_599L,Count of active contract prolongations.,L,creditbureaua1,creditbureau1,28,"min, max, mean",1,,prolongationcount_599L,active,
prolongationcount_all,Count of active contract prolongations.,L,creditbureaua1,creditbureau1,28,"min, max, mean",1,,prolongationcount_599L,all,
purposeofcred_426M,Purpose of credit for active contract.,M,creditbureaua1,creditbureau1,17,"nunique, nuniquetotal, mode, last",1,,purposeofcred_426M,active,
purposeofcred_874M,Purpose of credit on a closed contract.,M,creditbureaua1,creditbureau1,24,"nunique, nuniquetotal, mode, last",1,,purposeofcred_874M,closed,
purposeofcred_all,Purpose of credit for active contract.,M,creditbureaua1,creditbureau1,17,"nunique, nuniquetotal, mode, last",1,,purposeofcred_426M,all,
refreshdate_3813885D,Date when the credit bureau's public sources have been last updated.,D,creditbureaua1,creditbureau1,132,"min, max",1,,refreshdate_3813885D,common,
residualamount_488A,Residual amount of a closed contract.,A,creditbureaua1,creditbureau1,2,"min, max, mean",1,,residualamount_488A,closed,
residualamount_856A,Residual amount for the active contract.,A,creditbureaua1,creditbureau1,79475,"min, max, mean",1,,residualamount_856A,active,
residualamount_all,Residual amount for the active contract.,A,creditbureaua1,creditbureau1,79475,"min, max, mean",1,,residualamount_856A,all,
subjectrole_182M,Subject role in active credit contract.,M,creditbureaua1,creditbureau1,6,"nunique, nuniquetotal, mode, last",1,,subjectrole_182M,active,
subjectrole_93M,Subject role in closed credit contract.,M,creditbureaua1,creditbureau1,8,"nunique, nuniquetotal, mode, last",1,,subjectrole_93M,closed,
subjectrole_all,Subject role in active credit contract.,M,creditbureaua1,creditbureau1,6,"nunique, nuniquetotal, mode, last",1,,subjectrole_182M,all,
totalamount_6A,Total amount of closed contracts.,A,creditbureaua1,creditbureau1,193529,"min, max, mean",1,,totalamount_6A,closed,
totalamount_996A,Total amount of active contracts in the credit bureau.,A,creditbureaua1,creditbureau1,62185,"min, max, mean",1,,totalamount_996A,active,
totalamount_all,Total amount of active contracts in the credit bureau.,A,creditbureaua1,creditbureau1,62185,"min, max, mean",1,,totalamount_996A,all,
totaldebtoverduevalue_178A,Total amount of past due debt on active contracts.,A,creditbureaua1,creditbureau1,2396,"min, max, mean",1,,totaldebtoverduevalue_178A,active,
totaldebtoverduevalue_718A,Total overdue debt amount for closed credit contracts.,A,creditbureaua1,creditbureau1,173,"min, max, mean",1,,totaldebtoverduevalue_718A,closed,
totaldebtoverduevalue_all,Total amount of past due debt on active contracts.,A,creditbureaua1,creditbureau1,2396,"min, max, mean",1,,totaldebtoverduevalue_178A,all,
totaloutstanddebtvalue_39A,Total outstanding debt for active contracts in the credit bureau.,A,creditbureaua1,creditbureau1,139100,"min, max, sum, mean",1,,totaloutstanddebtvalue_39A,active,
totaloutstanddebtvalue_668A,Total outstanding debt for the closed contracts in the credit bureau.,A,creditbureaua1,creditbureau1,146,"min, max, sum, mean",1,,totaloutstanddebtvalue_668A,closed,
totaloutstanddebtvalue_all,Total outstanding debt for active contracts in the credit bureau.,A,creditbureaua1,creditbureau1,139100,"min, max, sum, mean",1,,totaloutstanddebtvalue_39A,all,
collater_typofvalofguarant_298M,Collateral valuation type (active contract).,M,creditbureaua2,creditbureau2,4,"nunique, nuniquetotal, mode, last",1,,collater_typofvalofguarant_298M,active,
collater_typofvalofguarant_407M,Collateral valuation type (closed contract).,M,creditbureaua2,creditbureau2,7,"nunique, nuniquetotal, mode, last",1,,collater_typofvalofguarant_407M,closed,
collater_typofvalofguarant_all,Collateral valuation type (active contract).,M,creditbureaua2,creditbureau2,4,"nunique, nuniquetotal, mode, last",1,,collater_typofvalofguarant_298M,all,
collater_valueofguarantee_1124L,Value of collateral for active contract.,L,creditbureaua2,creditbureau2,6659,"max, mean, min",1,,collater_valueofguarantee_1124L,active,
collater_valueofguarantee_876L,Value of collateral for closed contract.,L,creditbureaua2,creditbureau2,17094,"max, mean, min",1,,collater_valueofguarantee_876L,closed,
collater_valueofguarantee_all,Value of collateral for active contract.,L,creditbureaua2,creditbureau2,6659,"max, mean, min",1,,collater_valueofguarantee_1124L,all,
collaterals_typeofguarante_359M,Type of collateral that was used as a guarantee for a closed contract.,M,creditbureaua2,creditbureau2,15,"nunique, nuniquetotal, mode, last",1,,collaterals_typeofguarante_359M,closed,
collaterals_typeofguarante_669M,Collateral type for the active contract.,M,creditbureaua2,creditbureau2,14,"nunique, nuniquetotal, mode, last",1,,collaterals_typeofguarante_669M,active,
collaterals_typeofguarante_all,Collateral type for the active contract.,M,creditbureaua2,creditbureau2,14,"nunique, nuniquetotal, mode, last",1,,collaterals_typeofguarante_669M,all,
pmts_dpd_1073P,"Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment).",P,creditbureaua2,creditbureau2,2147,"max, mean, sharenonzero, min",1,,pmts_dpd_1073P,active,
pmts_dpd_303P,"Days past due of the payment for terminated contract according to credit bureau (num_group1 - terminated contract, num_group2 - payment).",P,creditbureaua2,creditbureau2,4146,"max, mean, sharenonzero, min",1,,pmts_dpd_303P,closed,
pmts_dpd_all,"Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment).",P,creditbureaua2,creditbureau2,2147,"max, mean, sharenonzero, min",1,,pmts_dpd_1073P,all,
pmts_month_158T,"Month of payment for a closed contract (num_group1 - existing contract, num_group2 - payment).",T,creditbureaua2,creditbureau2,13,"min, max, mean",1,,pmts_month_158T,closed,
pmts_month_706T,"Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment).",T,creditbureaua2,creditbureau2,13,"min, max, mean",1,,pmts_month_706T,active,
pmts_month_all,"Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment).",T,creditbureaua2,creditbureau2,13,"min, max, mean",1,1,pmts_month_706T,all,
pmts_overdue_1140A,"Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment).",A,creditbureaua2,creditbureau2,69984,"max, mean, sum, std, min",1,,pmts_overdue_1140A,active,
pmts_overdue_1152A,"Overdue payment for a closed contract (num_group1 - terminated contract, num_group2 - payment).",A,creditbureaua2,creditbureau2,448987,"max, mean, sum, std, min",1,,pmts_overdue_1152A,closed,
pmts_overdue_all,"Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment).",A,creditbureaua2,creditbureau2,69984,"max, mean, sum, std, min",1,,pmts_overdue_1140A,all,
pmts_year_1139T,"Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment).",T,creditbureaua2,creditbureau2,7,,0,,pmts_year_1139T,active,
pmts_year_507T,"Payment year for a closed credit contract (num_group1 - terminated contract, num_group2 - payment).",T,creditbureaua2,creditbureau2,22,,0,,pmts_year_507T,closed,
pmts_year_all,"Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment).",T,creditbureaua2,creditbureau2,7,,0,,pmts_year_1139T,all,
subjectroles_name_541M,"Name of subject role in closed credit contract (num_group1 - terminated contract, num_group2 - subject roles).",M,creditbureaua2,creditbureau2,10,"nunique, nuniquetotal, mode, last",1,,subjectroles_name_541M,closed,
subjectroles_name_838M,"Name of subject role in active credit contract (num_group1 - existing contract, num_group2 - subject roles).",M,creditbureaua2,creditbureau2,7,"nunique, nuniquetotal, mode, last",1,,subjectroles_name_838M,active,
subjectroles_name_all,"Name of subject role in active credit contract (num_group1 - existing contract, num_group2 - subject roles).",M,creditbureaua2,creditbureau2,7,"nunique, nuniquetotal, mode, last",1,,subjectroles_name_838M,all,
amount_1115A,Credit amount of the active contract provided by the credit bureau.,A,creditbureaub1,creditbureau1,20527,,0,,amount_1115A,active,
classificationofcontr_1114M,Classificiation of the active contract.,M,creditbureaub1,creditbureau1,10,"nunique, nuniquetotal, mode, last",1,,classificationofcontr_13M,active,
contractdate_551D,Contract date of the active contract,D,creditbureaub1,creditbureau1,4076,,0,,dateofcredstart_181D,active,
contractmaturitydate_151D,End date of active contract.,D,creditbureaub1,creditbureau1,4538,,0,,dateofcredend_289D,active,
contractst_516M,Contract status.,M,creditbureaub1,creditbureau1,15,"nunique, nuniquetotal, mode, last",1,,contractst_545M,common,
contracttype_653M,Contract Type,M,creditbureaub1,creditbureau1,25,"nunique, nuniquetotal",1,,contracttype_653M,common,
credlmt_1052A,Credit limit of an active loan.,A,creditbureaub1,creditbureau1,9635,,0,,credlmt_1052A,active,
credlmt_228A,Credit limit for closed loans.,A,creditbureaub1,creditbureau1,3536,,0,,credlmt_230A,closed,
credlmt_3940954A,Credit limit for active loan.,A,creditbureaub1,creditbureau1,9660,,0,,credlmt_935A,active,
credor_3940957M,Creditor's name,M,creditbureaub1,creditbureau1,151,"nunique, nuniquetotal",1,,credor_3940957M,common,
credquantity_1099L,Number of credits in credit bureau,L,creditbureaub1,creditbureau1,15,,0,,numberofcontrsvalue_258L,common,
credquantity_984L,Number of closed credits in credit bureau.,L,creditbureaub1,creditbureau1,73,,0,,numberofcontrsvalue_358L,closed,
debtpastduevalue_732A,Amount of unpaid debt for existing contracts.,A,creditbureaub1,creditbureau1,5854,,0,,overdueamount_659A,active,
debtvalue_227A,Outstanding amount for existing debt contracts.,A,creditbureaub1,creditbureau1,41242,,0,,outstandingamount_362A,active,
dpd_550P,The number of days past due for active loans where a guarantee has been provided.,P,creditbureaub1,creditbureau1,4872,,0,,dpd_550P,active,
dpd_733P,Days past due (DPD) for guaranteed loans that were terminated according to credit bureau data.,P,creditbureaub1,creditbureau1,43,,0,,dpd_733P,closed,
dpd_all,The number of days past due for active loans where a guarantee has been provided.,P,creditbureaub1,creditbureau1,4872,,0,,dpd_550P,active,
