feature,desc,transf_initial,source,source_group,depth,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
dtlastpmt_581D,Date of last payment made by the applicant.,D,applprev1,applprev1,1,2354,"mean, max, var",1,,,,
dtlastpmtallstes_3545839D,Date of the applicant's last payment.,D,applprev1,applprev1,1,2366,"mean, max, var",1,,,,
education_1138M,Applicant's education level from their previous application.,M,applprev1,applprev1,1,6,"mean, max",1,,,,
employedfrom_700D,Employment start date from the previous application.,D,applprev1,applprev1,1,8344,"mean, max, var",1,,,,
familystate_726L,Family State in previous application of applicant.,L,applprev1,applprev1,1,6,"mean, max",1,,,,
firstnonzeroinstldate_307D,Date of last instalment in the previous application.,D,applprev1,applprev1,1,5154,"mean, max, var",1,,,,
inittransactioncode_279L,Type of the initial transaction made in the previous application of the client.,L,applprev1,applprev1,1,4,"mean, max",1,,,,
isbidproduct_390L,Flag for determining if the product is a cross-sell in previous applications.,L,applprev1,applprev1,1,3,"mean, max",1,,,,
isdebitcard_527L,Previous application flag indicating if product being applied for is a debit card.,L,applprev1,applprev1,1,3,"mean, max",1,,,,
mainoccupationinc_437A,Client's main income amount in their previous application.,A,applprev1,applprev1,1,17341,"mean, max, var",1,,,,
maxdpdtolerance_577P,Maximum DPD with tolerance (on previous application/s).,P,applprev1,applprev1,1,3210,"mean, max, var",1,,,,
outstandingdebt_522A,Amount of outstanding debt on the client's previous application.,A,applprev1,applprev1,1,179740,"mean, max, var",1,,,,
pmtnum_8L,Number of payments made for the previous application.,L,applprev1,applprev1,1,61,"mean, max",1,,,,
postype_4733339M,Type of point of sale.,M,applprev1,applprev1,1,9,"mean, max",1,,,,
profession_152M,Profession of the client during their previous loan application.,M,applprev1,applprev1,1,5799,"mean, max",1,,,,
rejectreason_755M,Reason for previous application rejection.,M,applprev1,applprev1,1,18,"mean, max",1,,,,
rejectreasonclient_4145042M,Reason for rejection of the client's previous application.,M,applprev1,applprev1,1,14,"mean, max",1,,,,
revolvingaccount_394A,Revolving account that was present in the applicant's previous application.,A,applprev1,applprev1,1,52407,"mean, max, var",0,,,,
status_219L,Previous application status.,L,applprev1,applprev1,1,12,"mean, max",1,,,,
tenor_203L,Number of instalments in the previous application.,L,applprev1,applprev1,1,61,"mean, max",1,,,,
cacccardblochreas_147M,Card blocking reason.,M,applprev2,applprev2,2,,"mean, max",1,,,,
conts_type_509L,Person contact type in previous application.,L,applprev2,applprev2,2,,"mean, max",1,,,,
credacc_cards_status_52L,Card status of the previous credit account.,L,applprev2,applprev2,2,,"mean, max",1,,,,
annualeffectiverate_199L,Interest rate of the closed contracts.,L,creditbureaua1,creditbureaua1,1,5391,"mean, max",1,,,closed,
annualeffectiverate_63L,Interest rate for the active contracts.,L,creditbureaua1,creditbureaua1,1,4516,"mean, max",1,,,active,
annualeffectiverate_all,Interest rate for the active contracts.,L,creditbureaua1,creditbureaua1,1,4516,"mean, max",1,,,all,
classificationofcontr_13M,Classificiation of the active contract.,M,creditbureaua1,creditbureaua1,1,10,"mean, max",1,,,active,
classificationofcontr_400M,Classificiation of the closed contract.,M,creditbureaua1,creditbureaua1,1,286,"mean, max",1,,,closed,
classificationofcontr_all,Classificiation of the active contract.,M,creditbureaua1,creditbureaua1,1,10,"mean, max",1,,,all,
contractst_545M,Contract status of an active contract.,M,creditbureaua1,creditbureaua1,1,28,"mean, max",1,,,active,
contractst_964M,Contract status of terminated credit contract.,M,creditbureaua1,creditbureaua1,1,218,"mean, max",1,,,closed,
contractst_all,Contract status of an active contract.,M,creditbureaua1,creditbureaua1,1,28,"mean, max",1,,,all,
contractsum_5085717L,Sum of other contract values.,L,creditbureaua1,creditbureaua1,1,221600,"mean, max",0,,,common,
credlmt_230A,Credit limit of the closed credit contracts from credit bureau.,A,creditbureaua1,creditbureaua1,1,13064,"mean, max, var",1,,,closed,
credlmt_935A,Credit limit for active loan.,A,creditbureaua1,creditbureaua1,1,27540,"mean, max, var",1,,,active,
credlmt_all,Credit limit for active loan.,A,creditbureaua1,creditbureaua1,1,27540,"mean, max, var",1,,,all,
dateofcredend_289D,End date of an active credit contract.,D,creditbureaua1,creditbureaua1,1,5970,"mean, max, var",1,,,active,
dateofcredend_353D,End date of a closed credit contract.,D,creditbureaua1,creditbureaua1,1,8975,"mean, max, var",1,,,closed,
dateofcredend_all,End date of an active credit contract.,D,creditbureaua1,creditbureaua1,1,5970,"mean, max, var",1,1,,all,
dateofcredstart_181D,Start date of an active credit contract.,D,creditbureaua1,creditbureaua1,1,6275,"mean, max, var",1,,,active,
dateofcredstart_739D,Start date of a closed credit contract.,D,creditbureaua1,creditbureaua1,1,4431,"mean, max, var",1,,,closed,
dateofcredstart_all,Start date of an active credit contract.,D,creditbureaua1,creditbureaua1,1,6275,"mean, max, var",1,,,all,
dateofrealrepmt_138D,Date of credit's closure (contract termination date).,D,creditbureaua1,creditbureaua1,1,5854,"mean, max, var",1,,,closed,
debtoutstand_525A,Outstanding amount of existing contract.,A,creditbureaua1,creditbureaua1,1,135691,"mean, max, var",1,,,active,
debtoutstand_all,Outstanding amount of existing contract.,A,creditbureaua1,creditbureaua1,1,135691,"mean, max, var",1,,,all,
debtoverdue_47A,Amount that is currently past due on a client's existing credit contract.,A,creditbureaua1,creditbureaua1,1,2382,"mean, max, var",1,,,active,
debtoverdue_all,Amount that is currently past due on a client's existing credit contract.,A,creditbureaua1,creditbureaua1,1,2382,"mean, max, var",1,,,all,
description_351M,Categorization of clients by credit bureau.,M,creditbureaua1,creditbureaua1,1,12,"mean, max",1,,,common,
dpdmax_139P,Maximal days past due for active contract.,P,creditbureaua1,creditbureaua1,1,1087,"mean, max, var",1,,,active,
dpdmax_757P,Maximum days past due for a closed contract.,P,creditbureaua1,creditbureaua1,1,3625,"mean, max, var",1,,,closed,
dpdmax_all,Maximal days past due for active contract.,P,creditbureaua1,creditbureaua1,1,1087,"mean, max, var",1,,,all,
dpdmaxdatemonth_442T,Max DPD occurrence month for terminated contracts from credit bureau data.,T,creditbureaua1,creditbureaua1,1,13,"mean, max",1,,,closed,
dpdmaxdatemonth_89T,Month when maximum days past due occurred on the active contract with the credit bureau.,T,creditbureaua1,creditbureaua1,1,13,"mean, max",1,,,active,
dpdmaxdatemonth_all,Month when maximum days past due occurred on the active contract with the credit bureau.,T,creditbureaua1,creditbureaua1,1,13,"mean, max",1,,,all,
dpdmaxdateyear_596T,Year when maximum Days Past Due (DPD) occurred for the active contract.,T,creditbureaua1,creditbureaua1,1,6,"mean, max",0,,,active,
dpdmaxdateyear_896T,Year of maximum Days Past Due of closed contract obtained from Credit Bureau.,T,creditbureaua1,creditbureaua1,1,19,"mean, max",0,,,closed,
dpdmaxdateyear_all,Year when maximum Days Past Due (DPD) occurred for the active contract.,T,creditbureaua1,creditbureaua1,1,6,"mean, max",0,,,all,
financialinstitution_382M,Name of financial institution that is linked to a closed contract.,M,creditbureaua1,creditbureaua1,1,260,"mean, max",1,,,closed,
financialinstitution_591M,Financial institution name of the active contract.,M,creditbureaua1,creditbureaua1,1,152,"mean, max",1,,,active,
financialinstitution_all,Financial institution name of the active contract.,M,creditbureaua1,creditbureaua1,1,152,"mean, max",1,,,all,
instlamount_768A,Instalment amount for the active contract in credit bureau.,A,creditbureaua1,creditbureaua1,1,50059,"mean, max, var",1,,,active,
instlamount_852A,Instalment amount for closed contract.,A,creditbureaua1,creditbureaua1,1,22792,"mean, max, var",1,,,closed,
instlamount_all,Instalment amount for the active contract in credit bureau.,A,creditbureaua1,creditbureaua1,1,50059,"mean, max, var",1,,,all,
interestrate_508L,Interest rate for a closed contract in the credit bureau.,L,creditbureaua1,creditbureaua1,1,143,"mean, max",1,,,closed,
lastupdate_1112D,Date of last update for an active contract from credit bureau.,D,creditbureaua1,creditbureaua1,1,203,"mean, max, var",1,,,active,
lastupdate_388D,Date of last update for a closed contract in the credit bureau.,D,creditbureaua1,creditbureaua1,1,4909,"mean, max, var",1,,,closed,
lastupdate_all,Date of last update for an active contract from credit bureau.,D,creditbureaua1,creditbureaua1,1,203,"mean, max, var",1,,,all,
monthlyinstlamount_332A,Monthly instalment amount for active contract.,A,creditbureaua1,creditbureaua1,1,118375,"mean, max, var",1,,,active,
monthlyinstlamount_674A,Monthly amount of instalment payment on a closed contract.,A,creditbureaua1,creditbureaua1,1,273081,"mean, max, var",1,,,closed,
monthlyinstlamount_all,Monthly instalment amount for active contract.,A,creditbureaua1,creditbureaua1,1,118375,"mean, max, var",1,,,all,
nominalrate_281L,Interest rate of the active contract.,L,creditbureaua1,creditbureaua1,1,545,"mean, max",1,,,active,
nominalrate_498L,Interest rate for closed contract.,L,creditbureaua1,creditbureaua1,1,1536,"mean, max",1,,,closed,
nominalrate_all,Interest rate of the active contract.,L,creditbureaua1,creditbureaua1,1,545,"mean, max",1,,,all,
numberofcontrsvalue_258L,Number of active contracts in credit bureau.,L,creditbureaua1,creditbureaua1,1,19,"mean, max",1,,,active,
numberofcontrsvalue_358L,Number of closed credit contracts.,L,creditbureaua1,creditbureaua1,1,114,"mean, max",1,,,closed,
numberofcontrsvalue_all,Number of active contracts in credit bureau.,L,creditbureaua1,creditbureaua1,1,19,"mean, max",1,,,all,
numberofinstls_229L,Number of instalments on closed contract.,L,creditbureaua1,creditbureaua1,1,321,"mean, max",1,,,closed,
numberofinstls_320L,Number of instalments of the active contract.,L,creditbureaua1,creditbureaua1,1,288,"mean, max",1,,,active,
numberofinstls_all,Number of instalments of the active contract.,L,creditbureaua1,creditbureaua1,1,288,"mean, max",1,,,all,
numberofoutstandinstls_520L,Number of outstanding instalment for closed contract.,L,creditbureaua1,creditbureaua1,1,175,"mean, max",1,,,closed,
numberofoutstandinstls_59L,Number of outstanding instalments for the active contracts.,L,creditbureaua1,creditbureaua1,1,291,"mean, max",1,,,active,
numberofoutstandinstls_all,Number of outstanding instalments for the active contracts.,L,creditbureaua1,creditbureaua1,1,291,"mean, max",1,,,all,
numberofoverdueinstlmax_1039L,Maximum number of past due installments for an active contract.,L,creditbureaua1,creditbureaua1,1,1239,"mean, max",1,,,active,
numberofoverdueinstlmax_1151L,Maximum number of past due installments for a closed contract.,L,creditbureaua1,creditbureaua1,1,3964,"mean, max",1,,,closed,
numberofoverdueinstlmax_all,Maximum number of past due installments for an active contract.,L,creditbureaua1,creditbureaua1,1,1239,"mean, max",1,,,all,
numberofoverdueinstlmaxdat_148D,Date of maximum number of past due instalments for the closed contract.,D,creditbureaua1,creditbureaua1,1,4671,"mean, max, var",1,,,closed,
numberofoverdueinstlmaxdat_641D,Date of maximum number of past due instalments for the active contract.,D,creditbureaua1,creditbureaua1,1,1620,"mean, max, var",1,,,active,
numberofoverdueinstlmaxdat_all,Date of maximum number of past due instalments for the active contract.,D,creditbureaua1,creditbureaua1,1,1620,"mean, max, var",1,,,all,
numberofoverdueinstls_725L,Maximum number of past due instalments for an active contract.,L,creditbureaua1,creditbureaua1,1,605,"mean, max",1,,,active,
numberofoverdueinstls_834L,Number of past due instalments for a closed contract.,L,creditbureaua1,creditbureaua1,1,119,"mean, max",1,,,closed,
numberofoverdueinstls_all,Maximum number of past due instalments for an active contract.,L,creditbureaua1,creditbureaua1,1,605,"mean, max",1,,,all,
outstandingamount_354A,Outstanding amount for closed credit contract in credit bureau.,A,creditbureaua1,creditbureaua1,1,154,"mean, max, var",1,,,closed,
outstandingamount_362A,Active contract's outstanding amount.,A,creditbureaua1,creditbureaua1,1,165005,"mean, max, var",1,,,active,
outstandingamount_all,Active contract's outstanding amount.,A,creditbureaua1,creditbureaua1,1,165005,"mean, max, var",1,,,all,
overdueamount_31A,Past due amount for a closed contract.,A,creditbureaua1,creditbureaua1,1,174,"mean, max, var",1,,,closed,
overdueamount_659A,Past due amount for active contract.,A,creditbureaua1,creditbureaua1,1,2696,"mean, max, var",1,,,active,
overdueamount_all,Past due amount for active contract.,A,creditbureaua1,creditbureaua1,1,2696,"mean, max, var",1,,,all,
overdueamountmax_155A,Maximal past due amount for active contract.,A,creditbureaua1,creditbureaua1,1,61697,"mean, max, var",1,,,active,
overdueamountmax_35A,Maximal past due amount for a closed contract.,A,creditbureaua1,creditbureaua1,1,216533,"mean, max, var",1,,,closed,
overdueamountmax_all,Maximal past due amount for active contract.,A,creditbureaua1,creditbureaua1,1,61697,"mean, max, var",1,,,all,
overdueamountmax2_14A,Maximal past due amount for an active contract.,A,creditbureaua1,creditbureaua1,1,75568,"mean, max, var",1,,,active,
overdueamountmax2_398A,Maximal overdue amount for a closed contract.,A,creditbureaua1,creditbureaua1,1,226965,"mean, max, var",1,,,closed,
overdueamountmax2_all,Maximal past due amount for an active contract.,A,creditbureaua1,creditbureaua1,1,75568,"mean, max, var",1,,,all,
overdueamountmax2date_1002D,Date of maximal past due amount for a closed contract,D,creditbureaua1,creditbureaua1,1,4538,"mean, max, var",1,,,closed,
overdueamountmax2date_1142D,Date of maximal past due amount for an active contract.,D,creditbureaua1,creditbureaua1,1,1772,"mean, max, var",1,,,active,
overdueamountmax2date_all,Date of maximal past due amount for an active contract.,D,creditbureaua1,creditbureaua1,1,1772,"mean, max, var",1,,,all,
overdueamountmaxdatemonth_284T,Month when the maximum past due amount occurred for a closed contract.,T,creditbureaua1,creditbureaua1,1,13,"mean, max",1,,,closed,
overdueamountmaxdatemonth_365T,Month when maximum past due amount occurred for an active contract.,T,creditbureaua1,creditbureaua1,1,13,"mean, max",1,,,active,
overdueamountmaxdatemonth_all,Month when maximum past due amount occurred for an active contract.,T,creditbureaua1,creditbureaua1,1,13,"mean, max",1,,,all,
overdueamountmaxdateyear_2T,Year when the maximum past due amount occurred for active contracts.,T,creditbureaua1,creditbureaua1,1,6,"mean, max",0,,,active,
overdueamountmaxdateyear_994T,Year when maximum past due amount occurred for closed contract.,T,creditbureaua1,creditbureaua1,1,19,"mean, max",0,,,closed,
overdueamountmaxdateyear_all,Year when the maximum past due amount occurred for active contracts.,T,creditbureaua1,creditbureaua1,1,6,"mean, max",0,,,all,
periodicityofpmts_1102L,Frequency of instalments for a closed contract.,L,creditbureaua1,creditbureaua1,1,6,"mean, max",1,,,closed,
periodicityofpmts_837L,Frequency of instalments for an active contract.,L,creditbureaua1,creditbureaua1,1,6,"mean, max",1,,,active,
periodicityofpmts_all,Frequency of instalments for an active contract.,L,creditbureaua1,creditbureaua1,1,6,"mean, max",1,,,all,
prolongationcount_1120L,Count of prolongations on terminated contract according to credit bureau.,L,creditbureaua1,creditbureaua1,1,55,"mean, max",1,,,closed,
prolongationcount_599L,Count of active contract prolongations.,L,creditbureaua1,creditbureaua1,1,28,"mean, max",1,,,active,
prolongationcount_all,Count of active contract prolongations.,L,creditbureaua1,creditbureaua1,1,28,"mean, max",1,,,all,
purposeofcred_426M,Purpose of credit for active contract.,M,creditbureaua1,creditbureaua1,1,17,"mean, max",1,,,active,
purposeofcred_874M,Purpose of credit on a closed contract.,M,creditbureaua1,creditbureaua1,1,24,"mean, max",1,,,closed,
purposeofcred_all,Purpose of credit for active contract.,M,creditbureaua1,creditbureaua1,1,17,"mean, max",1,,,all,
refreshdate_3813885D,Date when the credit bureau's public sources have been last updated.,D,creditbureaua1,creditbureaua1,1,132,"mean, max, var",1,,,common,
residualamount_488A,Residual amount of a closed contract.,A,creditbureaua1,creditbureaua1,1,2,"mean, max, var",1,,,closed,
residualamount_856A,Residual amount for the active contract.,A,creditbureaua1,creditbureaua1,1,79475,"mean, max, var",1,,,active,
residualamount_all,Residual amount for the active contract.,A,creditbureaua1,creditbureaua1,1,79475,"mean, max, var",1,,,all,
subjectrole_182M,Subject role in active credit contract.,M,creditbureaua1,creditbureaua1,1,6,"mean, max",1,,,active,
subjectrole_93M,Subject role in closed credit contract.,M,creditbureaua1,creditbureaua1,1,8,"mean, max",1,,,closed,
subjectrole_all,Subject role in active credit contract.,M,creditbureaua1,creditbureaua1,1,6,"mean, max",1,,,all,
totalamount_6A,Total amount of closed contracts.,A,creditbureaua1,creditbureaua1,1,193529,"mean, max, var",1,,,closed,
totalamount_996A,Total amount of active contracts in the credit bureau.,A,creditbureaua1,creditbureaua1,1,62185,"mean, max, var",1,,,active,
totalamount_all,Total amount of active contracts in the credit bureau.,A,creditbureaua1,creditbureaua1,1,62185,"mean, max, var",1,,,all,
totaldebtoverduevalue_178A,Total amount of past due debt on active contracts.,A,creditbureaua1,creditbureaua1,1,2396,"mean, max, var",1,,,active,
totaldebtoverduevalue_718A,Total overdue debt amount for closed credit contracts.,A,creditbureaua1,creditbureaua1,1,173,"mean, max, var",1,,,closed,
totaldebtoverduevalue_all,Total amount of past due debt on active contracts.,A,creditbureaua1,creditbureaua1,1,2396,"mean, max, var",1,,,all,
totaloutstanddebtvalue_39A,Total outstanding debt for active contracts in the credit bureau.,A,creditbureaua1,creditbureaua1,1,139100,"mean, max, var",1,,,active,
totaloutstanddebtvalue_668A,Total outstanding debt for the closed contracts in the credit bureau.,A,creditbureaua1,creditbureaua1,1,146,"mean, max, var",1,,,closed,
totaloutstanddebtvalue_all,Total outstanding debt for active contracts in the credit bureau.,A,creditbureaua1,creditbureaua1,1,139100,"mean, max, var",1,,,all,
collater_typofvalofguarant_298M,Collateral valuation type (active contract).,M,creditbureaua2,creditbureaua2,2,4,"mean, max",1,,,active,
collater_typofvalofguarant_407M,Collateral valuation type (closed contract).,M,creditbureaua2,creditbureaua2,2,7,"mean, max",1,,,closed,
collater_typofvalofguarant_all,Collateral valuation type (active contract).,M,creditbureaua2,creditbureaua2,2,4,"mean, max",1,,,all,
collater_valueofguarantee_1124L,Value of collateral for active contract.,L,creditbureaua2,creditbureaua2,2,6659,"mean, max",1,,,active,
collater_valueofguarantee_876L,Value of collateral for closed contract.,L,creditbureaua2,creditbureaua2,2,17094,"mean, max",1,,,closed,
collater_valueofguarantee_all,Value of collateral for active contract.,L,creditbureaua2,creditbureaua2,2,6659,"mean, max",1,,,all,
collaterals_typeofguarante_359M,Type of collateral that was used as a guarantee for a closed contract.,M,creditbureaua2,creditbureaua2,2,15,"mean, max",1,,,closed,
collaterals_typeofguarante_669M,Collateral type for the active contract.,M,creditbureaua2,creditbureaua2,2,14,"mean, max",1,,,active,
collaterals_typeofguarante_all,Collateral type for the active contract.,M,creditbureaua2,creditbureaua2,2,14,"mean, max",1,,,all,
pmts_dpd_1073P,"Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment).",P,creditbureaua2,creditbureaua2,2,2147,"mean, max, var",1,,,active,
pmts_dpd_303P,"Days past due of the payment for terminated contract according to credit bureau (num_group1 - terminated contract, num_group2 - payment).",P,creditbureaua2,creditbureaua2,2,4146,"mean, max, var",1,,,closed,
pmts_dpd_all,"Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment).",P,creditbureaua2,creditbureaua2,2,2147,"mean, max, var",1,,,all,
pmts_month_158T,"Month of payment for a closed contract (num_group1 - existing contract, num_group2 - payment).",T,creditbureaua2,creditbureaua2,2,13,"mean, max",1,,,closed,
pmts_month_706T,"Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment).",T,creditbureaua2,creditbureaua2,2,13,"mean, max",1,,,active,
pmts_month_all,"Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment).",T,creditbureaua2,creditbureaua2,2,13,"mean, max",1,1,,all,
pmts_overdue_1140A,"Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment).",A,creditbureaua2,creditbureaua2,2,69984,"mean, max, var",1,,,active,
pmts_overdue_1152A,"Overdue payment for a closed contract (num_group1 - terminated contract, num_group2 - payment).",A,creditbureaua2,creditbureaua2,2,448987,"mean, max, var",1,,,closed,
pmts_overdue_all,"Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment).",A,creditbureaua2,creditbureaua2,2,69984,"mean, max, var",1,,,all,
pmts_year_1139T,"Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment).",T,creditbureaua2,creditbureaua2,2,7,"mean, max",0,,,active,
pmts_year_507T,"Payment year for a closed credit contract (num_group1 - terminated contract, num_group2 - payment).",T,creditbureaua2,creditbureaua2,2,22,"mean, max",0,,,closed,
pmts_year_all,"Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment).",T,creditbureaua2,creditbureaua2,2,7,"mean, max",0,,,all,
subjectroles_name_541M,"Name of subject role in closed credit contract (num_group1 - terminated contract, num_group2 - subject roles).",M,creditbureaua2,creditbureaua2,2,10,"mean, max",1,,,closed,
subjectroles_name_838M,"Name of subject role in active credit contract (num_group1 - existing contract, num_group2 - subject roles).",M,creditbureaua2,creditbureaua2,2,7,"mean, max",1,,,active,
subjectroles_name_all,"Name of subject role in active credit contract (num_group1 - existing contract, num_group2 - subject roles).",M,creditbureaua2,creditbureaua2,2,7,"mean, max",1,,,all,
amount_1115A,Credit amount of the active contract provided by the credit bureau.,A,creditbureaub1,creditbureaub1,1,20527,"mean, max, var",0,,,active,
classificationofcontr_1114M,Classificiation of the active contract.,M,creditbureaub1,creditbureaub1,1,10,"mean, max",1,,,active,
contractdate_551D,Contract date of the active contract,D,creditbureaub1,creditbureaub1,1,4076,"mean, max, var",0,,,active,
contractmaturitydate_151D,End date of active contract.,D,creditbureaub1,creditbureaub1,1,4538,"mean, max, var",0,,,active,
contractst_516M,Contract status.,M,creditbureaub1,creditbureaub1,1,15,"mean, max",1,,,common,
contracttype_653M,Contract Type,M,creditbureaub1,creditbureaub1,1,25,"mean, max",1,,,common,
credlmt_1052A,Credit limit of an active loan.,A,creditbureaub1,creditbureaub1,1,9635,"mean, max, var",0,,,active,
credlmt_228A,Credit limit for closed loans.,A,creditbureaub1,creditbureaub1,1,3536,"mean, max, var",0,,,closed,
credlmt_3940954A,Credit limit for active loan.,A,creditbureaub1,creditbureaub1,1,9660,"mean, max, var",0,,,active,
credor_3940957M,Creditor's name,M,creditbureaub1,creditbureaub1,1,151,"mean, max",1,,,common,
credquantity_1099L,Number of credits in credit bureau,L,creditbureaub1,creditbureaub1,1,15,"mean, max",0,,,common,
credquantity_984L,Number of closed credits in credit bureau.,L,creditbureaub1,creditbureaub1,1,73,"mean, max",0,,,closed,
debtpastduevalue_732A,Amount of unpaid debt for existing contracts.,A,creditbureaub1,creditbureaub1,1,5854,"mean, max, var",0,,,active,
debtvalue_227A,Outstanding amount for existing debt contracts.,A,creditbureaub1,creditbureaub1,1,41242,"mean, max, var",0,,,active,
dpd_550P,The number of days past due for active loans where a guarantee has been provided.,P,creditbureaub1,creditbureaub1,1,4872,"mean, max, var",0,,,active,
dpd_733P,Days past due (DPD) for guaranteed loans that were terminated according to credit bureau data.,P,creditbureaub1,creditbureaub1,1,43,"mean, max, var",0,,,closed,
dpd_all,The number of days past due for active loans where a guarantee has been provided.,P,creditbureaub1,creditbureaub1,1,4872,"mean, max, var",0,,,active,
dpdmax_851P,Maximal past due days for active contracts in the credit bureau.,P,creditbureaub1,creditbureaub1,1,20158,"mean, max, var",0,,,active,
dpdmaxdatemonth_804T,Month when the maximum Day Past Due (DPD) occurred for active contracts on credit bureau's records.,T,creditbureaub1,creditbureaub1,1,13,"mean, max",1,,,active,
dpdmaxdateyear_742T,Year of the maximum Days Past Due (DPD) on an active credit contract in the credit bureau.,T,creditbureaub1,creditbureaub1,1,16,"mean, max",0,,,active,
installmentamount_644A,Instalment amount of a closed and secured credit contract.,A,creditbureaub1,creditbureaub1,1,84,"mean, max, var",0,,,closed,
installmentamount_833A,Instalment amount for a secured and active contract in credit bureau.,A,creditbureaub1,creditbureaub1,1,41973,"mean, max, var",0,,,active,
instlamount_892A,Instalment amount for active credit contract.,A,creditbureaub1,creditbureaub1,1,31160,"mean, max, var",0,,,active,
interesteffectiverate_369L,Interest rate on active contract.,L,creditbureaub1,creditbureaub1,1,2643,"mean, max",0,,,active,
interestrateyearly_538L,Annual interest rate for existing contract obtained from credit bureau.,L,creditbureaub1,creditbureaub1,1,419,"mean, max",0,,,active,
lastupdate_260D,Last update date for the active contracts.,D,creditbureaub1,creditbureaub1,1,612,"mean, max, var",1,,,active,
maxdebtpduevalodued_3940955A,Days past due at the time of the maximum debt.,P,creditbureaub1,creditbureaub1,1,1474,"mean, max, var",0,,,common,
numberofinstls_810L,Number of instalments for the active contract.,L,creditbureaub1,creditbureaub1,1,244,"mean, max",0,,,active,
overdueamountmax_950A,Maximal past due amount for active contract.,A,creditbureaub1,creditbureaub1,1,1835,"mean, max, var",0,,,active,
overdueamountmaxdatemonth_494T,Month when the maximum past due amount was recorded for an active contract with the credit bureau.,T,creditbureaub1,creditbureaub1,1,13,"mean, max",0,,,active,
overdueamountmaxdateyear_432T,Year when max past due amount occurred for active contract.,T,creditbureaub1,creditbureaub1,1,16,"mean, max",0,,,active,
periodicityofpmts_997L,Frequency of instalments for active credit contracts.,L,creditbureaub1,creditbureaub1,1,6,"mean, max",0,,,active,
periodicityofpmts_997M,Frequency of instalments for active credit contracts.,L,creditbureaub1,creditbureaub1,1,11,"mean, max",0,,,active,
pmtdaysoverdue_1135P,Number of days past due for existing contracts in the credit bureau.,P,creditbureaub1,creditbureaub1,1,1634,"mean, max, var",0,,,active,
pmtmethod_731M,Instalment payment method for existing contract in credit bureau.,M,creditbureaub1,creditbureaub1,1,10,"mean, max",1,,,active,
pmtnumpending_403L,Number of pending payments for active contract.,L,creditbureaub1,creditbureaub1,1,263,"mean, max",0,,,active,
purposeofcred_722M,Purpose of credit for active contracts.,M,creditbureaub1,creditbureaub1,1,16,"mean, max",1,,,active,
residualamount_1093A,Residual amount of closed guarantee contract.,A,creditbureaub1,creditbureaub1,1,3,"mean, max, var",0,,,closed,
residualamount_127A,Residual amount of active guarantee contract.,A,creditbureaub1,creditbureaub1,1,17357,"mean, max, var",0,,,active,
