Variable,Description
maxdbddpdtollast6m_4187119P,Maximum number of days past due in last 6 months. This predictor takes the value as a negative number when it represents days before due date.
maxdebt4_972A,Maximal principal debt of the client in the history older than 4 months.
maxdebtpduevalodued_3940955A,Days past due at the time of the maximum debt.
maxdpdfrom6mto36m_3546853P,Maximum Days Past Due (DPD) in the period ranging from 6 to 36 months.
maxdpdinstldate_3546855D,Date of instalment on which client was most days past due.
maxdpdinstlnum_3546846P,Instalment number of which client was most days past due.
maxdpdlast12m_727P,Maximum days past due in the past 12 months.
maxdpdlast24m_143P,Maximal days past due in the last 24 months.
maxdpdlast3m_392P,Maximum number of days past due in last 3 months.
maxdpdlast6m_474P,Maximum days past due in the last 6 months.
maxdpdlast9m_1059P,Maximum days past due in last 9 months.
maxdpdtolerance_374P,Maximum number of days past due (with tolerance).
maxdpdtolerance_577P,Maximum DPD with tolerance (on previous application/s).
maxinstallast24m_3658928A,Maximum instalment in the last 24 months
maxlnamtstart6m_4525199A,Maximum loan amount started in the last 6 months.
maxoutstandbalancel12m_4187113A,Maximum outstanding balance in the last 12 months.
maxpmtlast3m_4525190A,Maximum payment made by the client in the last 3 months.
mindbddpdlast24m_3658935P,Minimum days past due (or days before due) in last 24 months.
mindbdtollast24m_4525191P,Minimum days before due in last 24 months.
mobilephncnt_593L,Number of persons with the same mobile phone number.
monthlyinstlamount_332A,Monthly instalment amount for active contract.
monthlyinstlamount_674A,Monthly amount of instalment payment on a closed contract.
monthsannuity_845L,Monthly annuity amount for the applicant.
name_4527232M,Name of employer.
name_4917606M,Name of employer.
nominalrate_281L,Interest rate of the active contract.
nominalrate_498L,Interest rate for closed contract.
numactivecreds_622L,Number of active credits.
numactivecredschannel_414L,Number of active credits.
numactiverelcontr_750L,Number of active revolving credits.
numberofcontrsvalue_258L,Number of active contracts in credit bureau.
numberofcontrsvalue_358L,Number of closed credit contracts.
numberofinstls_229L,Number of instalments on closed contract.
numberofinstls_320L,Number of instalments of the active contract.
numberofinstls_810L,Number of instalments for the active contract.
numberofoutstandinstls_520L,Number of outstanding instalment for closed contract.
numberofoutstandinstls_59L,Number of outstanding instalments for the active contracts.
numberofoverdueinstlmax_1039L,Number of outstanding instalments for active contracts.
numberofoverdueinstlmax_1151L,Maximum number of past due installments for a closed contract.
numberofoverdueinstlmaxdat_148D,Date of maximum number of past due instalments for the closed contract.
numberofoverdueinstlmaxdat_641D,Date of maximum number of past due instalments for the active contract.
numberofoverdueinstls_725L,Maximum number of past due instalments for an active contract.
numberofoverdueinstls_834L,Number of past due instalments for a closed contract.
numberofqueries_373L,Number of queries to credit bureau.
numcontrs3months_479L,Number of contracts in last 3 months.
numincomingpmts_3546848L,Number of incoming payments.
numinstlallpaidearly3d_817L,Number of instalments paid at least 3 days prior to their due date.
numinstls_657L,Number of instalments.
numinstlsallpaid_934L,Number of paid instalments.
numinstlswithdpd10_728L,Number of instalments that were overdue for 10 or more days.
numinstlswithdpd5_4187116L,Number of instalments that were overdue by at least 5 days.
numinstlswithoutdpd_562L,Number of instalments that were not past due date.
numinstmatpaidtearly2d_4499204L,Number of instalments that have been paid more than 2 days before their due date.
numinstpaid_4499208L,Number of paid instalments.
numinstpaidearly_338L,Number of installments paid prior to the due date.
numinstpaidearly3d_3546850L,Number of instalments paid more than three days before the due date.
numinstpaidearly3dest_4493216L,Number of instalments that have been paid more than 3 days in advance of the due date.
numinstpaidearly5d_1087L,Number of instalments paid more than 5 days prior to the due date.
numinstpaidearly5dest_4493211L,Number of instalments that were paid more than 5 days before the due date.
numinstpaidearly5dobd_4499205L,Number of installments paid more than 5 days prior to the due date.
numinstpaidearlyest_4493214L,Number of instalments paid before the due date.
numinstpaidlastcontr_4325080L,Number of paid installments from the client's last contract.
numinstpaidlate1d_3546852L,Number of instalments paid more than 1 day past their due date.
numinstregularpaid_973L,Number of fully paid regular installments in the client's previous contracts.
numinstregularpaidest_4493210L,Number of fully paid regular installments on clients' previous contracts.
numinsttopaygr_769L,Number of unpaid instalments.
numinsttopaygrest_4493213L,Number of unpaid instalments.
numinstunpaidmax_3546851L,Maximum number of unpaid instalments.
numinstunpaidmaxest_4493212L,Maximum number of unpaid instalments.
numnotactivated_1143L,Number of non-activated credits.
numpmtchanneldd_318L,Number of previous loan contracts for the applicant that had direct debit as payment channel.
numrejects9m_859L,Number of credit applications that were rejected in the last 9 months.
opencred_647L,Number of active loans from the previous application.
openingdate_313D,Deposit account opening date.
openingdate_857D,Debit card opening date.
outstandingamount_354A,Outstanding amount for closed credit contract in credit bureau.
outstandingamount_362A,Active contract's outstanding amount.
outstandingdebt_522A,Amount of outstanding debt on the client's previous application.
overdueamount_31A,Past due amount for a closed contract.
overdueamount_659A,Past due amount for active contract.
overdueamountmax_155A,Maximal past due amount for active contract.
overdueamountmax_35A,Maximal past due amount for a closed contract.
overdueamountmax_950A,Maximal past due amount for active contract.
overdueamountmax2_14A,Maximal past due amount for an active contract.
overdueamountmax2_398A,Maximal overdue amount for a closed contract.
overdueamountmax2date_1002D,Date of maximal past due amount for a closed contract
overdueamountmax2date_1142D,Date of maximal past due amount for an active contract.
overdueamountmaxdatemonth_284T,Month when the maximum past due amount occurred for a closed contract.
overdueamountmaxdatemonth_365T,Month when maximum past due amount occurred for an active contract.
overdueamountmaxdatemonth_494T,Month when the maximum past due amount was recorded for an active contract with the credit bureau.
overdueamountmaxdateyear_2T,Year when the maximum past due amount occurred for active contracts.
overdueamountmaxdateyear_432T,Year when max past due amount occurred for active contract.
overdueamountmaxdateyear_994T,Year when maximum past due amount occurred for closed contract.
paytype_783L,Type of payment.
paytype1st_925L,Type of first payment of the client.
payvacationpostpone_4187118D,Date of last payment holiday instalment.
pctinstlsallpaidearl3d_427L,Percentage of installments paid at least 3 days prior to the due date.
pctinstlsallpaidlat10d_839L,Percentage of installments that were paid 10 or more days after the due date.
pctinstlsallpaidlate1d_3546856L,Percentage of installments that are paid 1 or more days after the due date.
pctinstlsallpaidlate4d_3546849L,Percentage of installments that were paid 4 or more days past their due date.
pctinstlsallpaidlate6d_3546844L,Percentage of installments that were paid 6 or more days past their due date.
periodicityofpmts_1102L,Frequency of instalments for a closed contract.
periodicityofpmts_837L,Frequency of instalments for an active contract.
periodicityofpmts_997L,Frequency of instalments for active credit contracts.
periodicityofpmts_997M,Frequency of instalments for active credit contracts.
personindex_1023L,Order of the person specified on the application form.
persontype_1072L,Person type.
persontype_792L,Person type.
pmtamount_36A,Tax deductions amount for credit bureau payments.
pmtaverage_3A,Average of tax deductions.
pmtaverage_4527227A,Average of tax deductions.
pmtaverage_4955615A,Average of tax deductions.
pmtcount_4527229L,Number of tax deductions.
pmtcount_4955617L,Number of tax deductions.
pmtcount_693L,Number of tax deductions.
pmtdaysoverdue_1135P,Number of days past due for existing contracts in the credit bureau.
pmtmethod_731M,Instalment payment method for existing contract in credit bureau.
pmtnum_254L,Total number of loan payments made by the client.
pmtnum_8L,Number of payments made for the previous application.
pmtnumpending_403L,Number of pending payments for active contract.
pmts_date_1107D,"Payment date for an active contract according to credit bureau (num_group1 - contract, num_group2 - payment)."
pmts_dpd_1073P,"Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment)."
pmts_dpd_303P,"Days past due of the payment for terminated contract according to credit bureau (num_group1 - terminated contract, num_group2 - payment)."
pmts_dpdvalue_108P,"Value of past due payment for active contract (num_group1 - existing contract, num_group2 - payment)."
pmts_month_158T,"Month of payment for a closed contract (num_group1 - existing contract, num_group2 - payment)."
pmts_month_706T,"Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment)."
pmts_overdue_1140A,"Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment)."
pmts_overdue_1152A,"Overdue payment for a closed contract (num_group1 - terminated contract, num_group2 - payment)."
pmts_pmtsoverdue_635A,"Active contract that has overdue payments (num_group1 - existing contract, num_group2 - payment)."
pmts_year_1139T,"Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment)."
pmts_year_507T,"Payment year for a closed credit contract (num_group1 - terminated contract, num_group2 - payment)."
pmtscount_423L,Number of tax deduction payments.
pmtssum_45A,Sum of tax deductions for the client.
posfpd10lastmonth_333P,Average FPD10 (Share of contracts with first installment past due more than 10 days) from point of sales that processed contract in the previous month.
posfpd30lastmonth_3976960P,Average FPD30 (Share of contracts with first installment past due more than 30 days) from point of sales that processed contract in the previous month.
posfstqpd30lastmonth_3976962P,"Average FSTPD30 (share of contracts with first, second, or third installment past due more than 30 days) from point of sale that processed contract in the last month."
postype_4733339M,Type of point of sale.
previouscontdistrict_112M,Contact district of the client's previous approved application.
price_1097A,Credit price.
processingdate_168D,Date when the tax deduction is processed.
profession_152M,Profession of the client during their previous loan application.
prolongationcount_1120L,Count of prolongations on terminated contract according to credit bureau.
prolongationcount_599L,Count of active contract prolongations.
purposeofcred_426M,Purpose of credit for active contract.
purposeofcred_722M,Purpose of credit for active contracts.
purposeofcred_874M,Purpose of credit on a closed contract.
recorddate_4527225D,Date of tax deduction record.
refreshdate_3813885D,Date when the credit bureau's public sources have been last updated.
registaddr_district_1083M,District of person's registered address.
registaddr_zipcode_184M,Registered address's zip code of a person.
rejectreason_755M,Reason for previous application rejection.
rejectreasonclient_4145042M,Reason for rejection of the client's previous application.
relatedpersons_role_762T,"Relationship type of a client's related person (num_group1 - person, num_group2 - related person)."
relationshiptoclient_415T,Relationship to the client.
relationshiptoclient_642T,Relationship to the client.
remitter_829L,Flag indicating whether the client is a remitter.
requesttype_4525192L,Tax authority request type.
residualamount_1093A,Residual amount of closed guarantee contract.
residualamount_127A,Residual amount of active guarantee contract.
residualamount_3940956A,Residual amount for the active contract.
residualamount_488A,Residual amount of a closed contract.
residualamount_856A,Residual amount for the active contract.
responsedate_1012D,Tax authority's response date.
responsedate_4527233D,Tax authority's response date.
responsedate_4917613D,Tax authority's response date.
revolvingaccount_394A,Revolving account that was present in the applicant's previous application.
riskassesment_302T,Estimated probability that the client will default on their credit obligation within the next year.
riskassesment_940T,Estimate of client's creditworthiness.
role_1084L,Type of contact role.
role_993L,Person's role.
safeguarantyflag_411L,Flag indicating if client is using a flexible product with additional safeguard garanty.
score_940,Estimate of client's creditworthiness.
secondquarter_766L,Number of results in second quarter.
sellerplacecnt_915L,Number of sellerplaces where the same client's document was used.
sellerplacescnt_216L,Number of sellerplaces where the same client's mobile phone was used.
sex_738L,Gender of the client.
status_219L,Previous application status.
subjectrole_182M,Subject role in active credit contract.
subjectrole_326M,Subject role in active credit contract.
subjectrole_43M,Subject role in closed credit contract.
subjectrole_93M,Subject role in closed credit contract.
subjectroles_name_541M,"Name of subject role in closed credit contract (num_group1 - terminated contract, num_group2 - subject roles)."
subjectroles_name_838M,"Name of subject role in active credit contract (num_group1 - existing contract, num_group2 - subject roles)."
sumoutstandtotal_3546847A,Sum of total outstanding amount.
sumoutstandtotalest_4493215A,Sum of total outstanding amount.
tenor_203L,Number of instalments in the previous application.
thirdquarter_1082L,Number of results in third quarter.
totalamount_503A,Total amount of active secured credit for a client.
totalamount_6A,Total amount of closed contracts.
totalamount_881A,Total amount of secured credit from closed contracts.
totalamount_996A,Total amount of active contracts in the credit bureau.
totaldebt_9A,Total amount of debt.
totaldebtoverduevalue_178A,Total amount of past due debt on active contracts.
totaldebtoverduevalue_718A,Total overdue debt amount for closed credit contracts.
totaloutstanddebtvalue_39A,Total outstanding debt for active contracts in the credit bureau.
totaloutstanddebtvalue_668A,Total outstanding debt for the closed contracts in the credit bureau.
totalsettled_863A,Sum of all payments made by the client.
totinstallast1m_4525188A,Total amount of monthly instalments paid in the previous month.
twobodfilling_608L,Type of application process.
type_25L,Contact type of a person.
typesuite_864L,Persons accompanying the client during the loan application process.
validfrom_1069D,Date since the client has an active campaign.
